SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
2304;Gaspacho;;;article;4.6;;Soupes;CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE;GAspacho;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;;
2310;Gaspacho de carottes;;;article;4.6;;autres;CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE;Gaspacho de carottes;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;;
2316;Wrap bagnat;;;article;5.5;;Sandwich;CARTE TEST DETAILLEE/SANDWICH/AUTRES SANDWICH,BUFFET/SANDWICH/AUTRES SANDWICH;Wrap bagnat;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2322;Bagel Pastrami;;;article;5.5;;Sandwich;CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH;Bagel Pastrami;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2334;Salade (Eliche, serrano, parmesan);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Salade (Eliche, serrano, parmesan);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2340;Salade (Saumon 5 baies);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Salade (Saumon 5 baies);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2341;Salade (Quinoa, écrevisse, avocat);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE;Salade (quinoa, écrevisse, avocat);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2347;Salade (Betteraves , carottes, aubergines grillées);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Salade (Betteraves , carottes, aubergines grillées);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2353;Salade (poulet cajun, coleslaw, mangue grillées);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Salade (poulet cajun, coleslaw, mangue grillées);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2364;Perle de Chia;;;article;3.5;;DESSERT;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Perle de Chia;BLUE;Accentuer;;;;;;;GLOBAL;;;;
